Question,Answer
무릎 인공관절 수술 지원을 받으려면 어떤 조건을 충족해야 하나요?,"만 60세 이상 기초생활수급자, 차상위계층, 한부모가족 중에서 건강보험급여의 인공관절 치환술(무릎관절) 인정 기준에 해당하는 질환을 가진 어르신이면 지원을 받을 수 있습니다."
지원 대상에서 언급한 '인공관절 치환술(무릎관절) 인정 기준'이란 무엇인가요?,건강보험에서 정한 특정 질환에 대하여 인공관절 치환수술을 급여로 인정하는 기준을 말합니다. 해당 기준에 부합하는지는 의사의 진단을 통해 확인할 수 있습니다.
노인 무릎 인공관절 수술 지원 신청은 어디에서 할 수 있나요?,해당 지역의 보건소에 방문하거나 연락하여 신청할 수 있습니다.
인공관절 수술 지원금 신청 후 처리 기간은 얼마나 걸리나요?,"신청 후 처리 기간은 지역 보건소의 상황에 따라 다를 수 있으니, 신청 시 해당 보건소에 문의하여 확인할 필요가 있습니다."
"차상위계층에 속하는 65세 노인이 무릎 인공관절 수술을 받을 예정인데, 지원받으려면 어떤 서류가 필요한가요?",지원 신청을 위해서는 차상위계층임을 증명할 수 있는 서류와 무릎 인공관절 수술이 필요함을 증명하는 의사의 소견서 등이 필요할 수 있습니다. 정확한 서류는 지역 보건소에서 안내받을 수 있습니다.
노인 무릎 인공관절 수술 지원에 대해 더 자세히 알고 싶으면 어디로 문의해야 하나요?,노인의료나눔재단에 전화로 문의하시거나 공식 웹사이트를 방문하면 더 자세한 정보를 얻을 수 있습니다.
"한부모가족에 속하는 노인이 무릎 인공관절 수술을 준비 중인데, 지원금을 받으면 수술비는 어느 정도 부담해야 하나요?","한쪽 무릎 수술에 대한 본인부담금 120만 원이 지원되며, 그 이외의 수술비용과 비급여 항목에 대해서는 본인이 부담해야 합니다. 수술비용의 전체적인 부담금액은 병원과 상의하여 확인해야 합니다."
은퇴금융 아카데미에서 무료로 제공되는 강좌 내용이 궁금합니다.,"은퇴금융 아카데미에서는 자산관리, 은퇴금융상품, 신용·부채관리 등의 금융지식 강좌와 다양한 생활정보 강좌를 무료로 제공하고 있습니다."
은퇴금융 아카데미에 참여하려면 어떤 절차를 거쳐야 하나요?,은퇴금융 아카데미에 참여하기 위해서는 한국주택금융공사 누리집에서 수강 지역과 일정을 확인하고 안내에 따라 절차를 진행하면 됩니다.
은퇴금융 아카데미의 온라인 교육 수강 방법을 알려주세요.,"은퇴금융 아카데미의 온라인 교육은 유튜브 한국주택금융공사[HF 은퇴금융] 채널을 통해 수강할 수 있으며, 노후준비 전략, 재무설계, 세금특강 등의 교육과정을 상시로 이용할 수 있습니다."
한국주택금융공사에 대해 문의하고 싶을 때는 어떻게 연락하면 되나요?,한국주택금융공사에 문의하고 싶을 경우 1688-8114로 전화하거나 공식 웹사이트 www.hf.go.kr을 통해 문의할 수 있습니다.
은퇴금융 아카데미는 어떤 대상에게 필요한 교육인가요?,은퇴금융 아카데미는 은퇴준비에 필요한 경제금융지식과 은퇴생활정보 교육이 필요한 사람을 대상으로 한 교육 프로그램입니다.
은퇴준비 전략 강좌를 어디서 들을 수 있지요?,은퇴준비 전략 강좌는 온라인으로 한국주택금융공사[HF 은퇴금융] 유튜브 채널을 통해 수강할 수 있습니다.
은퇴생활정보에 대해 배우고 싶어요. 어디에서 정보를 얻을 수 있나요?,"은퇴생활정보에 대해서는 은퇴금융 아카데미를 통해 배울 수 있으며, 강좌는 한국주택금융공사 누리집에서 제공되고 있습니다."
은퇴금융 아카데미의 무료 강좌는 언제부터 시작되나요?,"은퇴금융 아카데미의 강좌 일정은 한국주택금융공사 누리집에서 확인하실 수 있으며, 각 수강 지역과 일정은 사전에 안내됩니다."
온라인 상시 교육 이외에도 현장에서 들을 수 있는 강좌가 있나요?,"은퇴금융 아카데미는 온라인 교육 외에도 현장 강좌를 제공할 수 있으며, 해당 정보는 한국주택금융공사 누리집에서 확인해야 합니다."
은퇴금융상품에 대한 자세한 정보를 알고 싶습니다. 어떻게 하면 좋을까요?,"은퇴금융상품에 대한 정보는 은퇴금융 아카데미 강좌를 통해 배울 수 있으며, 자세한 교육 내용과 일정은 한국주택금융공사 누리집에서 확인하실 수 있습니다."
어르신이 동네에서 쉽게 찾아갈 수 있는 문화·교육 프로그램이 어디에 있나요?,"동네의 노인복지관과 경로당에서 다양한 문화·교육 프로그램을 운영하고 있어, 접근이 용이합니다."
"노인복지관에서 제공하는 문화·교육 프로그램은 무료인가요, 아니면 신청을 해야 하나요?",복지관 프로그램은 별도의 신청 과정 없이 무료로 이용할 수 있습니다.
경로당 이용을 위해 준비해야 할 서류가 있나요?,경로당은 별도의 신청서나 서류 없이 이용할 수 있습니다.
경로당 프로그램을 알아보고 싶은데 어디에서 정보를 얻을 수 있나요?,거주지 인근 복지관이나 경로당에 문의하면 프로그램에 대한 자세한 정보를 제공받을 수 있습니다.
문화 향유를 위해 동네 복지관에 가고 싶어요. 어떻게 찾아갈 수 있나요?,거주지 인근의 노인복지관 정보는 해당 지역 구청이나 건강센터에 문의하면 안내를 받을 수 있습니다.
경로당에서 할 수 있는 활동에는 어떤 것들이 있나요?,"경로당에서는 노래, 댄스, 체조, 기타 학습과 같은 다양한 취미 활동과 교육 프로그램에 참여하실 수 있습니다."
"어르신이 사회참여를 활발히 하고 싶어하는데, 어떻게 하면 좋을까요?",복지관이나 경로당에서 운영하는 프로그램에 참여함으로써 사회적 교류를 갖고 적극적으로 사회참여를 할 수 있습니다.
노인복지관의 프로그램이나 서비스는 모든 어르신이 이용할 수 있나요?,"네, 특별한 제한 없이 모든 어르신이 혜택을 받을 수 있는 프로그램과 서비스를 제공하고 있습니다."
경로당이나 복지관을 이용하면 어떤 이점이 있나요?,경로당 및 복지관 이용을 통해 어르신들은 취미 활동을 공유하고 문화생활을 향유하면서 삶의 질을 높일 수 있습니다.
내가 살고 있는 지역에 있는 노인복지관은 어떻게 찾을 수 있나요?,거주하시는 동 주민센터나 구청에 연락하시면 가까운 노인복지관을 안내받을 수 있습니다.
디지털배움터에서 제공하는 무료 교육 대상이 궁금해요.,디지털배움터는 전 국민을 대상으로 무료 교육을 제공합니다.
디지털배움터 홈페이지 주소가 어떻게 되나요?,디지털배움터의 홈페이지 주소는 [디지털배움터.kr](http://디지털배움터.kr)입니다.
디지털배움터의 교육 내용에는 어떤 것들이 포함되어 있나요?,"디지털배움터에서는 디지털 기초와 생활(모바일, 키오스크 등)을 포함한 ICT 활용 교육을 제공합니다."
디지털배움터에 어떻게 신청할 수 있나요?,디지털배움터에는 온라인으로 [디지털배움터.kr](http://디지털배움터.kr)을 통해 신청하거나 전화(☎1800-0096)로 신청할 수 있습니다.
디지털배움터에 대한 문의는 어디로 하면 되나요?,디지털배움터에 대한 문의는 한국지능정보사회진흥원 디지털배움터(☎1800-0096)로 하실 수 있습니다.
디지털배움터 교육을 받으려면 비용이 드나요?,"아니요, 디지털배움터에서 제공하는 교육은 전부 무료입니다."
디지털배움터의 교육은 온라인으로만 이루어지나요?,디지털배움터의 교육은 온라인 신청을 통해 이루어지므로 온라인으로 교육을 받으실 수 있습니다.
디지털배움터에서는 어떤 ICT 활용 교육을 받을 수 있나요?,디지털배움터에서는 디지털 기초에서부터 생활 속에서 필요한 ICT 활용까지 다양한 교육을 받을 수 있습니다.
디지털배움터에 전화 신청하려면 어떤 번호로 연락해야 하나요?,디지털배움터에 전화로 신청하려면 ☎1800-0096으로 연락하시면 됩니다.
디지털배움터에서 모바일 사용법도 배울 수 있나요?,"네, 디지털배움터에서는 모바일 사용법을 포함하여 생활에 필요한 다양한 디지털 기술을 배울 수 있습니다."
국민연금공단의 노후준비서비스 이용 대상은 누구인가요?,만 18세 이상의 국민연금 가입대상자 및 수급권자를 포함하여 모든 국민이 해당 서비스를 이용할 수 있습니다.
노후준비서비스의 교육은 어떤 형태로 이루어지나요?,"공단 소속의 노후준비 전문 강사들이 재무, 건강, 여가, 대인관계 영역에 대한 맞춤형 강의를 제공합니다."
노후 준비에 대한 '종합진단지'는 어떤 것을 포함하고 있나요?,"‘종합진단지’는 재무, 건강, 여가, 대인관계 분야 등을 포함한 표준지표로 구성되어 있어 개인의 노후 준비 상태를 진단하는 데 사용됩니다."
국민연금공단 노후준비서비스의 상담 내용에는 무엇이 포함되나요?,상담 내용에는 진단을 통해 파악된 취약점을 보완하기 위한 영역별 실천 과제와 방법 등에 대한 구체적인 상담이 포함됩니다.
이 서비스의 '관계기관 연계'는 어떤 역할을 하나요?,이 서비스의 ‘관계기관 연계’ 단계는 타 기관의 노후준비 관련 서비스를 이용할 수 있도록 연결해주거나 심층상담이 필요한 경우 One-Stop 서비스를 통해 해당 기관으로 연계하는 역할을 합니다.
노후준비서비스 이용 시 사후관리는 어떻게 진행되나요?,"사후관리 단계에서는 상담시 설정한 과제의 준수 여부를 주기적으로 점검하며, 희망하는 경우 추가 상담 및 정보를 제공합니다."
상담 신청은 어떻게 하면 되나요?,국민연금공단 20개 거점지사에 방문하거나 온라인으로 상담 신청을 하면됩니다.
국민연금공단 노후준비서비스 이용을 원할 때 문의할 수 있는 연락처는 어디인가요?,국민연금공단 노후준비서비스와 관련하여 문의할 경우 국민연금공단 콜센터(☎1355)나 국민연금공단 ‘NPS중앙노후준비지원센터’ 웹사이트([csa.nps.or.kr](http://csa.nps.or.kr))에 문의하면 됩니다.
2022년부터 무엇이 달라지면서 국민연금공단의 노후준비서비스가 더 편리해졌나요?,2022년 6월부터 국민연금공단과 지자체가 협력함으로써 노후준비서비스의 이용 저변이 확대되어 더 편리하게 서비스를 이용할 수 있게 되었습니다.
국민연금공단에서 제공하는 노후준비상담 서비스의 전문성과 품질을 보증하는 인력은 어떠한 조건을 갖추고 있다고 하죠?,국민연금공단에서는 CSA(노후준비컨설턴트) 등 자격을 보유한 전문인력이 최상의 서비스를 제공하고 있습니다.
치매 선별검사는 만 몇 세 이상이 받을 수 있나요?,치매 선별검사는 만 60세 이상 어르신이 받을 수 있습니다.
만약 치매 선별검사 결과 추가 검사가 필요하다면 어디서 진행해야 하나요?,선별검사 결과 추가 검사가 필요한 경우 전국 600여 개소 협약병원에서 진단·감별검사를 실시할 수 있습니다.
만 60세 미만인 경우는 치매 선별검사를 받을 수 없나요?,만 60세 미만이더라도 인지능력이 현저히 저하되는 조기검진이 필요하다고 판단되면 치매 선별검사를 받을 수 있습니다.
선별검사는 어디에서 받나요?,전국의 보건소에서 선별검사를 무료로 받을 수 있습니다.
보건소에서 실시하는 선별검사는 어떤 검사인가요?,보건소에서는 치매 선별을 위한 간단한 인지선별검사(CIST)를 실시합니다.
진단검사 시 지원받을 수 있는 검사비는 어느 정도인가요?,진단검사 시 협약병원에서 실시한 검사비로 최대 15만 원 한도 내에서 지원받을 수 있습니다.
지원 대상이 되는 진단·감별검사의 종류에는 어떤 것들이 있나요?,"진단·감별검사에는 전문의 진찰, 치매척도검사, 치매신경인지검사, 일상생활척도검사, 혈액검사, 간기능검사, 신장기능검사, 뇌영상촬영 등이 포함됩니다."
선별검사를 받고 싶어요. 어떻게 신청하면 되나요?,치매 선별검사를 받고 싶다면 가까운 보건소의 치매안심센터에 신청하시면 됩니다.
만 60세 이상 어르신 중에서도 치매검진 지원의 혜택을 받을 수 있는 소득기준이 정해져 있나요?,"네, 진단·감별검사 지원은 만 60세 이상이면서 소득 기준 중위소득 120% 이하인 어르신이 대상입니다."
치매검진에 대한 추가 문의를 하고 싶어요. 어디로 연락해야 하나요?,치매검진에 대해 더 알고 싶으시면 보건복지상담센터(☎129)나 치매상담콜센터(☎1899-9988)로 문의하실 수 있습니다.
60세 이상의 어르신이 치매약 본인부담금에 대한 지원을 받으려면 어떻게 해야 하나요?,보건소에 위치한 치매안심센터에 방문하여 치매치료 관리비 지원사업에 신청하시면 됩니다.
치매치료제 지원을 받을 수 있는 소득 기준은 어떻게 되나요?,"기준 중위소득 120% 이하인 경우, 즉 4인 가족 기준 월 소득이 648만 2,000원 이하여야 치매치료제 지원을 받을 수 있습니다."
초로기 치매 환자도 치매치료 관리비 지원을 받을 수 있나요?,"네, 초로기 치매 환자도 선정이 가능하여 지원을 받을 수 있습니다."
치매치료제 복용 중인 어르신의 본인부담금 지원 한도는 얼마인가요?,치매치료제 복용 중인 어르신의 본인부담금은 최대 월 3만 원까지 지원받을 수 있습니다.
치매약제비와 관련된 지원금 신청은 어느 기관을 통해 해야 하나요?,약제비 지원금 신청은 가까운 보건소 내 치매안심센터를 통해 하실 수 있습니다.
치매치료제 지원사업에 대해 문의할 곳이 있나요?,보건복지상담센터(129번) 또는 치매상담콜센터(1899-9988번)로 문의하실 수 있습니다.
치매치료 관리비의 지원 조건 중 기준 중위소득은 4인 가족 기준으로 얼마인가요?,"4인 가족 기준으로 기준 중위소득은 월 648만 2,000원입니다."
치매치료 관리비 지원사업의 지원 대상은 정확히 어떤 분들인가요?,만 60세 이상 치매환자 중 치매치료제를 복용하고 있으며 기준 중위소득 120% 이하인 어르신들이 지원 대상입니다.
본인이 치매치료 관리비 지원사업의 대상인지 어떻게 알 수 있나요?,"본인의 나이와 소득 수준을 확인하시고, 해당 조건에 부합하는지 보건소의 치매안심센터나 관련 상담센터에 문의하여 확인하실 수 있습니다."
치매치료 관리비 지원을 받기 위해 필요한 서류는 무엇인가요?,지원을 받기 위해 필요한 서류는 보건소 치매안심센터에 문의하시어 안내받으실 수 있습니다.
노인맞춤돌봄서비스의 대상자는 어떤 기준으로 선정되나요?,"만 65세 이상의 기초생활수급자, 차상위계층, 기초연금수급자 중에서 독거나 조손가구 등 돌봄이 필요한 어르신들을 대상으로 하며, 신체·정신·사회참여 영역의 취약요인을 조사해 선정도구를 통해 우선순위에 따라 선정됩니다."
노인맞춤돌봄서비스를 신청하기 위한 절차는 어떻게 되나요?,"먼저 지역의 읍면동 주민센터에 신청서를 접수해야 합니다. 이후 대상자 선정조사와 서비스 상담이 수행기관을 통해 이루어지고, 시군구에서 대상자 결정 후 서비스 수행기관에서 서비스가 제공됩니다."
노인맞춤돌봄서비스에서 제공하는 직접 서비스 중 'ICT 안전지원'에 포함되는 내용은 무엇인가요?,'ICT 안전지원'에는 ICT(정보통신기술) 관리·교육과 ICT를 활용한 안전·안부확인 서비스가 포함됩니다.
돌봄이 필요한 어르신이 사회참여를 위해 무엇을 할 수 있는지 궁금해요. 노인맞춤돌봄서비스에서 지원하는 것이 있나요?,"네, 사회참여를 통해 어르신의 사회관계를 향상시키기 위해 여가활동, 평생교육활동, 문화활동 등이 직접 서비스로 제공되고, 자조모임을 통한 지원도 있습니다."
어르신들의 정서지원을 위한 말벗 서비스는 어떤 방식으로 제공되나요?,"말벗 서비스는 방문 안전지원의 일환으로 제공되며, 직접 방문하거나 전화를 통한 안부확인과 정보 제공을 포함합니다. 또한, ICT를 활용한 안전지원 서비스 내에서도 정서지원이 제공됩니다."
연계서비스와 특화서비스의 차이점은 무엇인가요?,"연계서비스는 생활지원연계, 주거개선연계, 건강지원연계, 기타서비스 등을 외부 기관과 연계하여 제공하는 서비스를 말합니다. 반면, 특화서비스는 개별 맞춤형 사례관리, 집단활동, 우울증 진단 및 투약 지원 등 어르신 각자의 필요에 맞춰 진행되는 서비스를 말합니다."
'가사지원'이라는 직접 서비스는 무엇을 지원하나요?,가사지원 서비스에는 어르신의 식사관리와 청소관리가 포함되어 생활 속 필수적인 부분을 도와드리는 활동입니다.
"신체적, 정신적 건강 유지를 위해 노인맞춤돌봄서비스에서 어떤 프로그램을 제공하나요?","신체건강분야에서는 영양교육, 보건교육, 건강교육을 제공하고, 정신건강분야에서는 우울예방 및 인지활동 프로그램을 통해 어르신의 건강 증진을 돕습니다."
노인맞춤돌봄서비스 관련 문의를 하고 싶을 때 어디로 연락해야 하나요?,보건복지상담센터로 전화하시면 됩니다. 상담 전화번호는 129입니다.
"돌봄이 필요한 어르신이 주변에 있는데, 어떤 방식으로 노인맞춤돌봄서비스 신청을 도와줄 수 있나요?","해당 어르신의 가까운 읍면동 주민센터(행정복지센터)를 방문해 신청서를 접수해주세요. 이후 대상자 선정조사 및 서비스 상담이 이루어지고, 서비스가 제공될 수 있도록 도와드립니다."
65세 이상 어르신이 철도를 이용할 때 어떤 할인 혜택을 받을 수 있나요?,"65세 이상 어르신은 지하철을 무료로 이용 가능하며 KTX·새마을호·무궁화호는 30% 요금 감면(단, KTX와 새마을호는 토요일, 일요일, 공휴일 제외), 통근열차는 50% 요금을 감면 받을 수 있습니다."
어르신이 국·공립국악원을 방문할 때 할인받을 수 있는 방법은 무엇인가요?,65세 이상 어르신은 국·공립국악원 입장 시 신분증을 제시하면 입장료의 50% 이상 할인 혜택을 받을 수 있습니다.
국내연안여객선을 이용할 때 어르신 요금감면은 어떻게 적용되나요?,"65세 이상 어르신은 국내연안여객선 이용 시 여객운임 20%를 감면 받을 수 있으며, 이용할 때 신분증을 제시하면 됩니다."
70세 이상 어르신이 지역가입자일 경우 국민건강보험료를 어떻게 경감 받을 수 있나요?,"70세 이상 어르신만 있는 지역가입자로서 재산이 1억 3,500만 원 이하이고 소득이 360만 원 이하인 경우 국민건강보험공단에 경감 신청을 하여 30%를 경감 받을 수 있습니다."
노인복지시설이 상수도요금 감면을 받기 위해 어떻게 해야 하나요?,노인복지시설에서는 환경부에 신청하여 상수도요금과 하수도사용료 감면을 받을 수 있습니다.
고궁 방문 시 어르신들에게 제공되는 혜택은 무엇인가요?,65세 이상 어르신은 고궁 및 능원 등에 무료입장 혜택이 있습니다. 입장 시 신분증을 제시하면 됩니다.
어르신들이 기초연금수급자일 때 통신요금 감면을 받으려면 어떻게 신청해야 하나요?,"기초연금수급자인 어르신은 복지로 또는 정부24 웹사이트를 통한 온라인 신청, 전용 ARS(휴대전화에서 ☎1523)나 고객센터(휴대전화에서 ☎114)를 이용한 전화신청, 또는 주민센터 또는 국민연금공단 지사에 직접 방문하여 이동전화 요금 감면을 신청할 수 있습니다."
대한항공을 이용하는 어르신에게 주어지는 할인 혜택은 어떤 것이 있나요?,"65세 이상 어르신은 대한항공 국내선 및 국제선을 이용 시 10%의 요금을 감면받을 수 있지만, 성수기 또는 일부 노선은 제외됩니다. 할인받기 위해서는 이용 시 신분증을 제시해야 합니다."
국민건강보험공단에 문의하려면 어떤 번호로 전화해야 하나요?,국민건강보험료 할인이나 기타 문의사항이 있을 때에는 국민건강보험공단의 전화번호 1577-1000번으로 연락하시면 됩니다.
도시가스요금이나 전기요금을 감면받고 싶은 노인복지시설은 어디에 연락할 수 있나요?,"도시가스요금 감면은 산업통상자원부에 문의할 수 있고(전화번호 ☎1577-0900), 전기요금 감면은 한국전력공사에 문의하시면 됩니다(전화번호 ☎123)."
노인보호전문기관에서 상담을 받기 위해 연락할 수 있는 전화번호는 무엇인가요?,노인보호전문기관에 상담을 받으려면 ☎1577-1389 번으로 연락하면 됩니다.
노인 인권에 대한 교육은 어디에서 이루어지나요?,노인 인권 교육은 노인학대예방 교육사업의 일환으로 노인보호전문기관에서 이루어집니다.
노인을 학대 혹은 방임한 경우 누구에게 신고할 수 있나요?,"노인 학대 혹은 방임을 발견했을 경우 노인보호전문기관(☎1577-1389), 수사기관(☎112), 보건복지부콜센터(☎129)에 신고할 수 있습니다."
학대를 당한 노인을 일시적으로 보호해 줄 수 있는 서비스는 무엇이 있나요?,노인보호전문기관에서는 학대피해 노인을 위한 일시보호서비스를 제공합니다.
"노인학대예방의 날은 언제이며, 어떤 활동이 있나요?","노인학대예방의 날은 매년 6월 15일이며, 기념행사와 함께 노인 인식개선을 위한 캠페인, 이동상담, 카툰 및 사진전시회 등 다양한 홍보활동을 진행합니다."
어르신들을 위한 전문상담 및 심리치료 지원은 어떤 기관에서 받을 수 있나요?,어르신들은 노인보호전문기관에서 학대 상황에 대한 전문상담 및 심리치료 지원을 받을 수 있습니다.
노인 학대를 신고하는 앱의 이름은 무엇인가요?,노인 학대 신고앱의 이름은 “나비새김(노인지킴이)”입니다.
노인보호전문기관에서는 어떤 법률지원을 연계해주나요?,노인보호전문기관에서는 학대피해 노인에 대해 필요한 법률지원을 연계해주고 있습니다.
노인학대 사례를 발견했을 때 신고자의 정보는 어떻게 되나요?,노인학대 사례를 신고할 때 신고자의 비밀은 보장됩니다.
노인학대 예방을 위한 지역사회 연계망을 구축하려면 어떤 기관과 협력해야 하나요?,노인학대예방을 위해서는 중앙·지역노인 학대사례 판정위원회 운영에 참여하고 지역사회 연계망을 구축하는 협력체계 구축사업에 참여하는 것이 필요합니다.
60세 이상 국민을 위한 문화활동 지원 프로그램이 무엇인가요?,"60세 이상 국민을 대상으로 지역적 특성에 맞는 다양한 문화예술활동을 무료로 운영하고, 전국단위로 실버문화페스티벌도 개최합니다."
음악이나 무용 같은 문화활동은 어디에서 찾아볼 수 있나요?,가까운 문화원이나 문화의집 등 문화시설을 통해 이용하실 수 있습니다.
어르신 문화프로그램에 대한 정보는 어디서 얻을 수 있나요?,한국문화원연합회를 통해 주변 지역 문화프로그램에 대한 정보를 사전에 문의하실 수 있습니다.
매년 운영되는 어르신 문화예술활동 프로그램에 변동이 있나요?,"네, 매년 문화시설별로 운영하는 프로그램 내용이 달라질 수 있습니다."
어르신들이 문화활동을 무료로 이용할 수 있는 방법은 무엇인가요?,지역 문화원이나 문화의집 등 문화시설을 통해 무료로 문화활동을 이용할 수 있습니다.
실버문화페스티벌은 어떤 행사인가요?,실버문화페스티벌은 전국 단위로 개최되는 어르신 대상의 문화예술 행사입니다.
문화활동 지원을 받기 위해서는 나이 제한이 있나요?,"네, 이 프로그램은 60세 이상의 국민을 대상으로 하고 있습니다."
한국문화원연합회에 문의하려면 어떤 전화번호로 연락해야 하나요?,"한국문화원연합회 지역문화진흥팀에 ☎02-704-4332, 2379번으로 연락하시면 됩니다."
어르신 맞춤형 문화예술활동은 어떤 종류의 프로그램들이 있나요?,"음악, 연극, 무용, 사진, 전통분야 등 다양한 맞춤형 문화예술활동이 준비되어 있습니다."
문화활동 지원 프로그램을 이용하려면 사전에 반드시 확인해야 할 사항이 있나요?,"예, 매년 프로그램이 달라질 수 있으므로, 한국문화원연합회를 통해 사전에 주변 지역 문화프로그램을 확인해야 합니다."
노후긴급자금 대부 사업을 이용하려면 어떤 자격 조건이 필요한가요?,만 60세 이상의 국민연금 수급자가 해당 사업을 이용할 자격 조건입니다.
노후긴급자금 대부 사업의 최대 대출 가능 금액은 얼마인가요?,"최대 1,000만 원까지 대출이 가능합니다."
대출한 자금은 어떻게 상환해야 하나요?,최대 5년 동안 원금균등 분할상환으로 상환해야 합니다. 거치 기간은 1~2년 선택이 가능하여 최장 7년까지 상환할 수 있습니다.
노후긴급자금 대부 사업의 대출 이자율은 어떻게 되나요?,대출 이자율은 저금리로 책정되어 있습니다.
노후긴급자금 대부 신청은 어디로 해야 하나요?,국민연금공단 지사에 직접 방문해 신청하셔야 합니다.
전·월세자금 이외에 어떤 목적으로 노후긴급자금을 사용할 수 있나요?,"의료비, 배우자 장제비, 재해복구비 등 긴급 생활안정자금으로 사용할 수 있습니다."
노후긴급자금 대부의 연간 대출 한도는 어떻게 되나요?,연간 연금수령액의 2배 이내에서 대출이 가능합니다.
긴급하게 자금이 필요한데 국민연금공단 지사까지 방문하기 어렵다면 어떻게 해야 하나요?,불가피한 상황이라면 국민연금공단 콜센터(☎1355)로 문의하여 가능한 대안을 안내받을 수 있습니다.
노후긴급자금 대부 사업의 대출을 받으려면 어떤 서류가 필요한가요?,필요한 서류는 국민연금공단 지사를 방문하거나 콜센터에 문의하시면 구체적으로 안내받을 수 있습니다.
노후긴급자금 대부 사업 신청 시 거치 기간은 선택할 수 있나요?,"네, 거치 기간은 1~2년 중 선택이 가능합니다."
만 65세 이상의 어르신이 윗잇몸이나 아랫잇몸에 치아가 하나도 없을 때 지원받을 수 있는 틀니 종류는 무엇인가요?,"그런 경우 어르신은 완전틀니(레진상, 금속상)를 지원받을 수 있습니다."
"만약 65세 노인이 치아가 일부 남아있어 부분틀니가 가능하다면, 어떤 유형의 부분틀니를 지원받을 수 있나요?",치아가 일부 남아 부분틀니 제작이 가능한 어르신은 고리 유지형 금속상 부분틀니를 지원받을 수 있습니다.
건강보험 가입자가 노인 틀니 지원을 받으려면 어디에 등록 신청해야 하나요?,건강보험 가입자는 치과 병·의원 또는 건강보험공단 지사에 대상자 등록 신청을 해야 합니다.
의료급여 1종 수급자가 완전틀니 지원시 본인부담금은 얼마인가요?,의료급여 1종 수급자가 완전틀니를 지원받을 시 본인부담금은 5%입니다.
노인 틀니 지원에 관련된 문의를 하고 싶을 때 어느 기관에 연락해야 하나요?,국민건강보험공단(☎1577-1000) 또는 보건복지상담센터(☎129)에 문의하시면 됩니다.
의료급여수급자가 틀니 지원 신청을 하려면 어디로 가야 하나요?,의료급여수급자는 치과 병·의원 및 시군구 또는 읍면동 주민센터(행정복지센터)에 대상자 등록 신청을 하셔야 합니다.
"차상위계층이 완전틀니 시술을 받았을 때, 지불해야 하는 비율을 말해주세요.",차상위계층은 완전틀니 시술 비용의 5~15%를 본인이 부담해야 합니다.
틀니를 사용하는 데 있어서 치약으로 닦는 것이 좋지 않은 이유는 무엇인가요?,치약은 틀니의 표면을 쉽게 마모시키기 때문에 좋지 않습니다. 따라서 전용 세정제를 사용해야 합니다.
